title,olympiad,year,grade,num,problem_text_ch,problem_solution_ch
LV.AMO.2004.5.1,LV.AMO,2004,5,1,242,284
LV.AMO.2004.5.2,LV.AMO,2004,5,2,365,336
LV.AMO.2004.5.3,LV.AMO,2004,5,3,666,249
LV.AMO.2004.5.4,LV.AMO,2004,5,4,179,421
LV.AMO.2004.5.5,LV.AMO,2004,5,5,330,142
LV.AMO.2004.6.1,LV.AMO,2004,6,1,145,211
LV.AMO.2004.6.2,LV.AMO,2004,6,2,140,169
LV.AMO.2004.6.3,LV.AMO,2004,6,3,246,245
LV.AMO.2004.6.4,LV.AMO,2004,6,4,363,360
LV.AMO.2004.6.5,LV.AMO,2004,6,5,346,137
LV.AMO.2004.7.1,LV.AMO,2004,7,1,217,277
LV.AMO.2004.7.2,LV.AMO,2004,7,2,290,623
LV.AMO.2004.7.3,LV.AMO,2004,7,3,150,538
LV.AMO.2004.7.4,LV.AMO,2004,7,4,304,255
LV.AMO.2004.7.5,LV.AMO,2004,7,5,293,1102
LV.AMO.2004.8.1,LV.AMO,2004,8,1,192,175
LV.AMO.2004.8.2,LV.AMO,2004,8,2,379,187
LV.AMO.2004.8.3,LV.AMO,2004,8,3,223,211
LV.AMO.2004.8.4,LV.AMO,2004,8,4,262,363
LV.AMO.2004.8.5,LV.AMO,2004,8,5,372,1426
LV.AMO.2004.9.1,LV.AMO,2004,9,1,225,202
LV.AMO.2004.9.2,LV.AMO,2004,9,2,291,533
LV.AMO.2004.9.3,LV.AMO,2004,9,3,239,260
LV.AMO.2004.9.4,LV.AMO,2004,9,4,366,691
LV.AMO.2004.9.5,LV.AMO,2004,9,5,230,1842
LV.AMO.2004.10.1,LV.AMO,2004,10,1,92,281
LV.AMO.2004.10.2,LV.AMO,2004,10,2,284,534
LV.AMO.2004.10.3,LV.AMO,2004,10,3,166,345
LV.AMO.2004.10.4,LV.AMO,2004,10,4,338,874
LV.AMO.2004.10.5,LV.AMO,2004,10,5,129,848
LV.AMO.2004.11.1,LV.AMO,2004,11,1,78,305
LV.AMO.2004.11.2,LV.AMO,2004,11,2,284,158
LV.AMO.2004.11.3,LV.AMO,2004,11,3,199,616
LV.AMO.2004.11.4,LV.AMO,2004,11,4,90,180
LV.AMO.2004.11.5,LV.AMO,2004,11,5,344,1002
LV.AMO.2004.12.1,LV.AMO,2004,12,1,262,140
LV.AMO.2004.12.2,LV.AMO,2004,12,2,192,1747
LV.AMO.2004.12.3,LV.AMO,2004,12,3,259,435
LV.AMO.2004.12.4,LV.AMO,2004,12,4,196,1176
LV.AMO.2004.12.5,LV.AMO,2004,12,5,463,1285
LV.AMO.2003.5.1,LV.AMO,2003,5,1,242,457
LV.AMO.2003.5.2,LV.AMO,2003,5,2,287,714
LV.AMO.2003.5.3,LV.AMO,2003,5,3,331,162
LV.AMO.2003.5.4,LV.AMO,2003,5,4,275,179
LV.AMO.2003.5.5,LV.AMO,2003,5,5,296,498
LV.AMO.2003.6.1,LV.AMO,2003,6,1,281,309
LV.AMO.2003.6.2,LV.AMO,2003,6,2,285,408
LV.AMO.2003.6.3,LV.AMO,2003,6,3,215,60
LV.AMO.2003.6.4,LV.AMO,2003,6,4,391,1424
LV.AMO.2003.6.5,LV.AMO,2003,6,5,192,703
LV.AMO.2003.7.1,LV.AMO,2003,7,1,65,233
LV.AMO.2003.7.2,LV.AMO,2003,7,2,301,642
LV.AMO.2003.7.3,LV.AMO,2003,7,3,266,404
LV.AMO.2003.7.4,LV.AMO,2003,7,4,247,324
LV.AMO.2003.7.5,LV.AMO,2003,7,5,339,559
LV.AMO.2003.8.1,LV.AMO,2003,8,1,331,491
LV.AMO.2003.8.2,LV.AMO,2003,8,2,281,495
LV.AMO.2003.8.3,LV.AMO,2003,8,3,170,292
LV.AMO.2003.8.4,LV.AMO,2003,8,4,430,331
LV.AMO.2003.8.5,LV.AMO,2003,8,5,337,556
LV.AMO.2003.9.1,LV.AMO,2003,9,1,171,141
LV.AMO.2003.9.2,LV.AMO,2003,9,2,237,338
LV.AMO.2003.9.3,LV.AMO,2003,9,3,202,730
LV.AMO.2003.9.4,LV.AMO,2003,9,4,124,613
LV.AMO.2003.9.5,LV.AMO,2003,9,5,348,775
LV.AMO.2003.10.1,LV.AMO,2003,10,1,80,148
LV.AMO.2003.10.2,LV.AMO,2003,10,2,333,637
LV.AMO.2003.10.3,LV.AMO,2003,10,3,174,349
LV.AMO.2003.10.4,LV.AMO,2003,10,4,278,683
LV.AMO.2003.10.5,LV.AMO,2003,10,5,243,1043
LV.AMO.2003.11.1,LV.AMO,2003,11,1,112,149
