Week,Class,Id
1,topic,Lietot un analizēt bezzudumu saspiešanas algoritmus
1.1,task,Ieviest jēdzienus saistībā ar ziņojumu saspiešanu
1.1,description,"Definējam saspiešanas terminus, kopu teorijas un varbūtiskas sakarības; ieviešam arī informācijas saturu un entropiju ziņojumu telpā. Modulis neietver konkrētus saspiešanas algoritmus."
1.1,reading,"https://bit.ly/2WDE6qG (CMU:Blelloch2013, pp.1-9) Introduction to Data Compression"
1.1,video,"https://youtu.be/y5VdtQSqiAI (Cambridge:MacKay2014A) Entropy and Data Compression (I): Introduction to Compression, Inf.Theory and Entropy."
1.1,video,"https://youtu.be/0SxJl5G2bp0 (Cambridge:MacKay2014B) Entropy and Data Compression (II): Shannon's Source Coding Theorem, The Bent Coin Lottery."
1.1.1,task,Izskaidrot kursa saturu un tajā izmantotās metodes
1.1.1.1,task,Izskaidrot sešas satura tēmas jeb priekšmetapgabalus
1.1.1.2,task,Identificēt algoritmu paradigmas jeb algoritmu veidošanas principus
1.1.1.3,task,Apspriest kursa mācību virsuzdevumus
1.1.1.4,task,Skaidrot rīku un metožu piemērotību virsuzdevumu sasniegšanai
1.1.1.5,task,Skaidrot kursa priekšnoteikumus un tvērumu
1.1.2,task,"Definēt ziņojumus, kodējumus, bezzudumu un zudumradošo saspiešanu"
1.1.2,description,Aprakstām saspiešanu klasisku kopu un funkciju līmenī bez varbūtiskiem modeļiem.
1.1.2.1,task,Definēt ziņojumus un ziņojumu alfabētu
1.1.2.2,task,Definēt kodējumu kā funkciju no ziņojumiem uz bitu virknītēm
1.1.2.3,math,Pierādīt universāla saspiešanas algoritma neesamību ar Dirihlē principu
1.1.2.4,task,Definēt bezzudumu un zudumradošo saspiešanu
1.1.2.5,example,Dotajam saspiešanas kontekstam noteikt ziņojumu alfabētu un kodējuma funkciju.
1.1.2.6,example,Dotajam alfabētam un ziņojumu virknes garumam noteikt iespējamo virkņu skaitu (t.sk. ar papildu ierobežojumiem).
1.1.2.7,example,"Atrast varbūtību sadalījumu diskrētam gadījumlielumam (piemēram, ziņojumu kopai) ar nelielu skaitu vērtību, ja zināms ziņojumu ģenerēšanas process."
1.1.3,task,"Definēt varbūtisku ziņojumu modeli, ziņojuma informācijas saturu tajā un vidējo kodējuma garumu."
1.1.3,description,Piedēvējam ziņojumiem varbūtības un ieviešam saistītos jēdzienus - informācijas saturu un vidējo kodējuma garumu.
1.1.3.1,task,Pamatot saspiešanas metodes saistību ar ziņojumu varbūtisko modeli
1.1.3.2,task,Aprakstīt n-bitu kodu telpu un tās dalīšanu gabalos
1.1.3.3,task,Definēt konkrēta ziņojuma informācijas saturu
1.1.3.4,task,Definēt kodējuma vidējo garumu
1.1.3.5,example,Atrast viena ziņojuma informācijas saturu.
1.1.3.6,example,Aprēķināt entropiju dotajām burtu varbūtībām.
1.1.3.7,example,Dotajam gadījumlieluma vērtību skaitam $n$ atrast entropijas maksimums un minimumus
1.1.4,task,Definēt diskrēta gadījumlieluma entropiju
1.1.4,description,Ieviešam entropijas jēdzienu un ieskicējam tā saistību ar informācijas saspiežamību.
1.1.4.1,task,Definēt gadījumlieluma entropiju kā vidējo vērtību informācijas saturiem
1.1.4.2,task,Definēt nosacīto entropiju. 
1.1.4.3,task,Definēt divu neatkarīgu gadījumu lielumu pāra entropiju.
1.1.4.4,task,Formulēt (bez pierādījuma) entropijas saistību ar datu saspiežamību
