Week,Class,Id
1,topic,Use C++ and Object Orientation
1.1,task,Create HelloWorld style programs
1.1,description,"Explain the entry point of a program, how it handles input and output, some fundamental data types and their conversions. Introduce the basic steps for its compilation and linking. In the module we stick with the Visual Studio Code possibilities."
1.1,reading,CH01P01
1.1,reading,https://bit.ly/2Y53DtA (SOF:Khachaturyan2019) What is Plain Old Data (POD)
1.1,video,https://youtu.be/ajRj_LmDmjk (de:Franneck2016A) Erstes Progrde:de:amm (Hel
1.1,video,https://youtu.be/aLdRUnZeSAw (de:Franneck2016B) Datentypen & Variablen
1.1.1,task,Create a simple HelloWorld program
1.1.1,description,"Basic examples; whey they posess the main characteristics of an algorithm and how to run them in graphical IDEs (Visual Studio Code, etc). "
1.1.1.1,code,Test and run CLI programs using plaintext files for input and expected output (use Visual Studio Code).
1.1.1.2,code,Tag submittable files in version control and submit
1.1.1.3,code,Understand your assignment submission procedure and its messages
1.1.1.4,task,Write a program that also transforms input data
1.1.1.5,task,Use correct indentation and other basic coding conventions
1.1.1.6,task,Identify compiler and linker actions
1.1.1.7,task,Show the difference between the development environment and runtime environment.
1.1.2,task,Introduce fundamental types
1.1.2,description,
1.1.2.1,task,"Introduce integer  types (short, int, long)"
1.1.2.2,task,Introduce bool type
1.1.2.3,task,Define and use enum types
1.1.2.4,task,Introduce floating point types (float and double)
1.1.2.5,task,Introduce char type
1.1.2.6,task,Use std:string to manipulate strings
1.1.2.7,task,Convert between some fundamental types and strings
1.1.3,task,"Declare and use arrays, pointers, references and struct types"
1.1.3,description,
1.1.3.1,task,"Declare, define and initialize arrays of fundamental types"
1.1.3.2,task,Declare and use pointers to variables
1.1.3.3,task,Refer to arrays using pointers
1.1.3.4,task,Declare and use references
1.1.3.5,task,Use C-style struct types
1.1.4,task,"Use namespaces, typedefs, local and global variables"
1.1.4,description,Introduce the identifiers (fully qualified with namespaces or local); understand the scope of a variable.
1.1.4.1,task,Define variables inside a scope
1.1.4.2,task,Refer to namespaced variables (with or without “using” statement)
1.1.4.3,task,Use “typedef” to give shorthand names for new types
1.1.4.4,task,Understand C++ variable scoping rules
1.1.5,code,"Write code to identify integers, floats, strings that are periodic in some representation (decimal, binary or string)"
1.2,task,"Use expressions, control structures and functions in C++"
1.2,description,"This module introduces longer code fragments, builds larger expressions and assignments, explains the structures of loops, branching and switching statements."
1.2,reading,CH01P02
1.2,reading,CH01P03
1.2,reading,CH01P04
1.2,video,https://youtu.be/d9rMdfqIOek (de:Franneck2016C) Rechnen mit Variablen
1.2.1,task,Describe fundamental types in C++
1.2.1.1,task,Understand binary representation of integer and float types
1.2.1.2,task,List all number-related types in C++
1.2.1.3,task,Understand character and string related types and encodings
1.2.2,task,"Declare, define and initialize variables, know their scope"
1.2.2.1,task,Define variable pointers and references
1.2.2.2,task,Use namespaces explicitly or implicitly
1.2.2.3,task,Use literal values in variable initializations
