"W1","2020-08-31 to 2020-09-04"
"W2","2020-09-07 to 2020-09-11"
"W3","2020-09-14 to 2020-09-18"
"W4","2020-09-21 to 2020-09-25"
"W5","2020-09-28 to 2020-10-02"      
"W6","2020-10-05 to 2020-10-09"
"W7","2020-10-12 to 2020-10-16"
"W8","2020-10-19 to 2020-10-23"
"W9","2020-10-26 to 2020-10-30"       
"W10","2020-11-02 to 2020-11-06"
"W11","2020-11-09 to 2020-11-13"
"W12","2020-11-16 to 2020-11-20"
"W13","2020-11-23 to 2020-11-27"        
"W14","2020-11-30 to 2020-12-04"
"W15","2020-12-07 to 2020-12-11"
