"Week","Id","Key","Value"
"W1",1,"topic","Use Statements and Propositions."
"W1",1.1,"task","Analyze Propositions and Boolean Expressions"
"W1",1.1,"description","This subsection should introduce all 5 Boolean connectors ($\neg$, $\wedge$, $\vee$, $\rightarrow$, $\leftrightarrow$), their truth tables."
"W1",1.1,"reading","Ch01P1 (Rosen2019, p.1-13) Propositional Logic"
"W1",1.1,"video","https://youtu.be/OApHaIMKMJE (Brehm2018_1_1) Propositional Logic"
"W1","1.1.1","task","Define what is a proposition"
"W1","1.1.1","description","Mention non-proposition sentences, include trickier situations (contradictory self-referential statements)"
"W1","1.1.2","task","Define Boolean operations ($\neg, \wedge, \vee, \rightarrow, \leftrightarrow$)"
"W1","1.1.2","description","Define Boolean operations through its natural language equivalent and its truth table."
"W1","1.1.3","task","Create truth tables for expressions"
"W1","1.1.3","description","Show how to evaluate expressions starting from subexpressions by plugging in the True/False values."
"W1","1.1.4","task","Introduce the formal concepts of precedence and associativity."
"W1","1.1.4","description","Explain that power operation ($2^{3^4}$) as well as the logical implication ($A \rightarrow B \rightarrow C$) are right-associative - they group from the right to the left. "
"W1","1.1.5","task","Restore parentheses in a Boolean expression using precedence (e.g. negation has the highest priority, conjunction is done before disjunction). Draw syntax trees showing evaluation order."
"W1","1.1.5","description","Show that Boolean expressions is one specific case of expressions (along with arithmetic, polynomials, etc.) May also illustrate precedence (arithmetic, comparisons, Booleans) in some programming language."
"W1",1.2,"task","Create propositional statements"
"W1",1.2,"description","Solve some word problems with propositional logic. We should pay special attention to cases where the connectors can be misunderstood or their everyday meaning differs from the formal one."
"W1",1.2,"reading","Ch01P2 (Rosen2019, p.17-22) Applications of Propositional Logic"
"W1",1.2,"video","https://youtu.be/_RrxqiB_pfE (Brehm2018_1_2) Applications of Propositional Logic"
"W1","1.2.1","task","Translate English into Propositional logic."
"W1","1.2.1","description","Given a statement in English and atomic propositions, write its Boolean expression."
"W1","1.2.2","task","Recognize situations when natural language uses logical connectives in a different sense."
"W1","1.2.2","description","Analyze phrases expressing inclusive and exclusive OR; various ways to express implications (“sufficient”, “necessary”, “whenever”, “if”, “only if”, “if and only if”)"
