L1,L2,L3,L4,L5,Label,ShortDescription,BestSamples,Comments
1,0,0,0,0,alg,Izmantot algebriskos apzîmçjumus un metodes skaitïu teorijas uzdevumos,,
1,1,0,0,0,alg.expr,"Ieviest mainîgo apzîmçjumus, sastâdît ar tiem izteiksmes",,
1,1,1,0,0,alg.expr.prop,"Izteikt kvalitatîvas skaitïu îpaðîbas (dalâmi ar kko, pçc kârtas sekojoði, nepâru, pilni kvadrâti u.c.) ar mainîgo izteiksmçm",,
1,1,2,0,0,alg.expr.selectvar,"Izvçlçties vien nedaudzus nezinâmos lielumus, ar ko izteikt citus",,
1,2,0,0,0,alg.tra,Veikt algebriskus pârveidojumus,,
1,2,1,0,0,alg.tra.binom,"Pârveidot reizinâjumus un pakâpes, kuros ietilpst binomi",,
1,2,1,1,0,alg.tra.binom.square,Atvçrt iekavas izteiksmçs (a+b)^2 un (a-b)^2 un dalît reizinâtâjos,LV.AO.2003.8.5,
1,2,1,2,0,alg.tra.binom.complsquare,Atdalît pilnos kvadrâtus,,
1,2,1,3,0,alg.tra.binom.newton,Atvçrt iekavas izteiksmçs (a+b)^n un (a-b)^n (Òûtona binomi),,
1,2,2,0,0,alg.tra.factor,Dalît reizinâtâjos algebriskas izteiksmes,,
1,2,2,1,0,alg.tra.factor.sqdiff,Dalît reizinâtâjos a^2-b^2,,
1,2,2,2,0,alg.tra.factor.powdiff,Dalît reizinâtâjos a^n-b^n,,
1,2,3,0,0,alg.tra.pow,Izmantot pakâpju îpaðîbas,,
1,2,3,1,0,alg.tra.pow.nest,Atvçrt iekavas izteiksmç (a^m)^n,,
1,2,3,2,0,alg.tra.pow.prod,Atvçrt iekavas izteiksmç (ab)^n,,
1,2,4,0,0,alg.tra.frac,Lietot daïu identiskos pârveidojumus,,
1,3,0,0,0,alg.equ,Risinât algebriskus vienâdojumus ar piemçrotâm standartmetodçm,,
1,3,1,0,0,alg.equ.guess,Ievietot daþas mainîgo vçrtîbas sakòu uzminçðanai,,
1,3,2,0,0,alg.equ.quadratic,Analizçt un risinât kvadrâtvienâdojumus,,
1,3,2,1,0,alg.equ.quadratic.discriminant,Noteikt kvadrâtvienâdojuma sakòu skaitu pçc diskriminanta,,
1,3,2,2,0,alg.equ.quadratic.roots,"Noteikt kvadrâtvienâdojuma reâlâs saknes, ja tâs ir",,
1,3,3,0,0,alg.equ.parametrize,"Parametrizçt vairâku mainîgo vienâdojumu, pieòemot kâdu no mainîgajiem par parametru",,
1,4,0,0,0,alg.series,Pârveidot un secinât par garâm summâm un reizinâjumiem,,
1,4,1,0,0,alg.series.sum,Pârkârtot locekïus garâs summâs (arî ar daudzpunktiem),,
1,4,2,0,0,alg.series.mean,Veikt darbîbas ar aritmçtisko vidçjo,,
1,4,3,0,0,alg.series.prod,"Pârkârtot locekïus reizinâjumos (arî ar daudzpunktiem), saîsinât daïu reizinâjumus",,
1,5,0,0,0,alg.ineq,Pamatot un izmantot nevienâdîbas,,
1,5,1,0,0,alg.ineq.equations,"Veselu skaitïu vienâdojumos saðaurinât potenciâlo atrisinâjumu kopu, ja citi neapmierina novçrtçjumu. ",,
1,5,2,0,0,alg.ineq.transitive,"Pamatot nevienâdîbu a<c, izmantojot a<b un b<c",,
1,5,3,0,0,alg.ineq.monotonicity,"Pamatot vienâdojuma sakòu neesamîbu veselos skaitïos, izmantojot monotonitâti",,
