IMO.SHL.2022.A1,"NA","['sequence', 'positive real numbers', 'positive integers']"
IMO.SHL.2022.A2,"NA","['integer', 'real numbers', 'distinct elements', 'sum']"
IMO.SHL.2022.A3,"NA","['positive real numbers', 'functions', 'set']"
IMO.SHL.2022.A4,"NA","['integer', 'real numbers', 'interval']"
IMO.SHL.2022.A5,"NA","['positive integers', 'real numbers', 'differences']"
IMO.SHL.2022.A6,"NA","['real numbers', 'functions', 'rational numbers']"
IMO.SHL.2022.A7,"NA","['positive integer', 'sum of the digits', 'polynomial']"
IMO.SHL.2022.A8,"NA","['positive integer', 'non-negative integers', 'real numbers']"
IMO.SHL.2022.C1,"NA","['sequence', 'integer', 'indices']"
IMO.SHL.2022.C2,"NA","['subsequence', 'consecutive coins', 'positive integer', 'longest chain']"
IMO.SHL.2022.C3,"NA","['square', 'board', 'tree', 'height', 'unit']"
IMO.SHL.2022.C4,"NA","['positive integer', 'circle', 'finite number']"
IMO.SHL.2022.C5,"NA","['integers', 'set', 'subset', 'function']"
IMO.SHL.2022.C6,"NA","['positive integer', 'pebbles', 'piles']"
IMO.SHL.2022.C7,"NA","['integer-valued tuples', 'tuples', 'operations']"
IMO.SHL.2022.C8,"NA","['positive integer', 'Nordic square', 'increasing order']"
IMO.SHL.2022.C9,"NA","['non-negative integers', 'bijection', 'integers']"
IMO.SHL.2022.G1,"NA","['convex pentagon', 'intersect', 'circle']"
IMO.SHL.2022.G2,"NA","['acute-angled triangle', 'altitude', 'segment', 'parallel', 'circles', 'concyclic']"
IMO.SHL.2022.G3,"NA","['cyclic quadrilateral', 'collinear', 'tangent', 'circle', 'midpoints', 'segments', 'concurrent']"
IMO.SHL.2022.G4,"NA","['acute-angled triangle', 'circumcentre', 'perpendicular', 'segment', 'circumcircles', 'tangent']"
IMO.SHL.2022.G5,"NA","['triangle', 'parallel lines', 'perpendicular', 'circumcircles', 'tangent']"
IMO.SHL.2022.G6,"NA","['acute triangle', 'altitude', 'angle bisectors', 'variable point']"
IMO.SHL.2022.G7,"NA","['triangles', 'orthocenter', 'circumcircle', 'center']"
IMO.SHL.2022.G8,"NA","['convex cyclic hexagon', 'tangent', 'incircle', 'triangle', 'convex quadrilateral']"
IMO.SHL.2022.N1,"NA","['positive divisors', 'number']"
IMO.SHL.2022.N2,"NA","['positive integers', 'factorial', 'primes', 'product']"
IMO.SHL.2022.N3,"NA","['positive integer', 'coprime', 'divisible']"
IMO.SHL.2022.N4,"NA","['positive integers', 'prime']"
IMO.SHL.2022.N5,"NA","['mathematical concepts', 'digits', 'multiples', 'base 10', 'distinct values']"
IMO.SHL.2022.N6,"NA","['prime numbers', 'prime factorization', 'positive integer', 'exponents', 'even integers']"
IMO.SHL.2022.N7,"NA","['positive integer', 'odd prime numbers', 'finite set', 'circle', 'product', 'positive integer']"
IMO.SHL.2022.N8,"NA","['divisible', 'positive integer']"
