LV.AMO.2022B.5.1,"divisibility,digit","minimālais skaitlis, dalāmība"
LV.AMO.2022B.5.2,"area,perimeter,grid,hexagon,square-side","['sešstūris', 'perimetrs', 'laukums']"
LV.AMO.2022B.5.3,"fractions,at-least","['trešdaļa', 'piektdaļa', 'septītdaļa']"
LV.AMO.2022B.5.4,"equality","Matemātikas termini"
LV.AMO.2022B.5.5,"true-statement","loģikas uzdevums"
LV.AMO.2022B.6.1,"natural-numbers,divisibility","['Naturālie skaitļi', 'Dalāmība']"
LV.AMO.2022B.6.2,"grid,shape,rotation","īpašību uzdevums"
LV.AMO.2022B.6.3,"natural-numbers,sum,last-digit","['naturālie skaitļi', 'pēdējais cipars']"
LV.AMO.2022B.6.4,"equality","matemātiskā problēma"
LV.AMO.2022B.6.5,"truth,falsehood,mapping","loģiskais uzdevums"
LV.AMO.2022B.7.1,"variable,digit,divisibility","Dalījums, piecciparu skaitlis"
LV.AMO.2022B.7.2,"sum,product","naturāli skaitļi, summa, reizinājums"
LV.AMO.2022B.7.3,"plane,line,point","Grafu teorija"
LV.AMO.2022B.7.4,"game,set,remove,to-win","Matemātika"
LV.AMO.2022B.7.5,"truth,falsehood,mapping","matemātikas termini"
LV.AMO.2022B.8.1,"divisibility,variable,digit","Divides"
LV.AMO.2022B.8.2,"add,subtract","lineāras vienādojumus"
LV.AMO.2022B.8.3,"triangle","['Trijstūris', 'Vienādmalu trijstūris', 'Leņķi']"
LV.AMO.2022B.8.4,"integer-numbers,distance","Matemātiski termini"
LV.AMO.2022B.8.5,"truth,falsehood","loģikas problēma"
LV.AMO.2022B.9.1,"divisibility,digit,variable","četrciparu skaitļi, dalās ar 99"
LV.AMO.2022B.9.2,"inequality","['x', 'y', 'x > y', 'x + 9/x', 'y + 9/y']"
LV.AMO.2022B.9.3,"right-triangle,altitude,line,segment","['Taisnleņķa trijstūris', 'augstums', 'nogrieznis']"
LV.AMO.2022B.9.4,"integer-numbers,distance","Matemātikas uzdevums par skaitļu rakstīšanu pa apli"
LV.AMO.2022B.9.5,"grid,square-side,rectangle,path","['taisnstūris', 'rūtiņa', 'mala', 'maršruts']"
LV.AMO.2022B.10.1,"power,last-digit","Pēdējais cipars"
LV.AMO.2022B.10.2,"primes,natural-numbers,disjoint-sets,sum","naturāli skaitļi, pirmskaitlis"
LV.AMO.2022B.10.3,"right-triangle,area,legs-in-right-triangle,circle,tangent","['taisnleņķa trijstūris', 'hipotenūza', 'katetes', 'riņķa līnija', 'rādiuss', 'laukums']"
LV.AMO.2022B.10.4,"equation,real-numbers,root","['reāli skaitļi', 'vienādojums', 'reālas saknes']"
LV.AMO.2022B.10.5,"graph,vertex,edge","[]"
LV.AMO.2022B.11.1,"sum,cube-Alg,integer-numbers","Skaitļu teorija"
LV.AMO.2022B.11.2,"equation,square-Alg,sum,value","['reālas vērtības', 'vienādojums', 'sakņu kvadrātu summa']"
LV.AMO.2022B.11.3,"triangle,inscribed-circle,angle,tangent","['Trijstūris', 'Riņķa līnija', 'Leņķa lielums']"
LV.AMO.2022B.11.4,"inequality,natural-numbers,sum","['naturālu skaitli', 'nevienādība']"
LV.AMO.2022B.11.5,"grid,square-side,rectangle,path","Matemātika"
LV.AMO.2022B.12.1,"integer-numbers,cube-Alg,sum","Matemātikas termini"
LV.AMO.2022B.12.2,"real-numbers,cube-Alg,equation","matemātikas termini"
LV.AMO.2022B.12.3,"triangle,median,altitude,area","['augstums', 'mediāna', 'trijstūris', 'trijstūra laukums']"
LV.AMO.2022B.12.4,"equation,real-numbers,sine,cosine","['reāli skaitļi', 'vienādojums', 'sin', 'cos']"
LV.AMO.2022B.12.5,"game,table,row,column,product,winning-strategy","['rūtiņu tabula', 'skaitļu reizinājums', 'punkti', 'uzvaroša stratēģija']"
