en,lv,notes
absolute-value,absolūtā vērtība,
area,laukums,
argument,argumenti,
arithmetic-mean,aritmētiskais vidējais,
arithmetic-progression,aritmētiskā progresija,
circle,aplis,
circumference,riņķa līnija,
circumscribed-circle,apvilktā riņķa līnija,
combinations,kombinācijas,
composite-numbers,salikti skaitļi,
constant-e,skaitlis e,
coprimes,savstarpēji pirmskaitļi,
decimal-fractions,decimāldaļskaitļi,
decimal-notation,decimālpieraksts,
digit,cipars,
digit-manipulation,ciparu manipulācija,
divisibility,dalāmība,
divisors,dalītāji,
equal-triangles,vienādi trijstūri,
equation,vienādojums,
equilateral-triangle,vienādmalu trijstūris,
even-number,pāra skaitlis,
expression,izteiksme,
factorial,faktoriāls,
fibonacci-sequence,Fibonači virkne,
floor,apakšējā veselā daļa,
fractions,daļas,
full-power,pilna pakāpe,
full-powers,pilna pakāpe,
full-square,pilns kvadrāts,
function,funkcija,
gcd,lkd,
geometric-mean,ģeometriskais vidējais,
geometric-progression,ģeometriska progresija,
groups,grupa,
inequality,nevienādība,
inscribed-circle,ievilkta riņķa līnija,
integer-polynomial,polinoms ar veseliem koeficientiem,
integer-polynomials,polinoms ar veseliem koeficientiem,
inverse-number,inversie skaitļi,
irrational-numbers,iracionāli skaitļi,
isosceles-triangle,vienādsānu trijstūris,
lcm,mkd,
linear-expression,lineāra izteiksme,
long-sums,garas summas,
median,mediāna,
mediant-of-fractions,racionālu daļu mediāna,
monotonic-sequence,monotona virkne,
multiple,daudzkārtnis,
mutual-primes,savstarpēji pirmskaitļi,
palindrome,palindroms,
parity,paritāte,
partition,kopas sadalījums,
perimeter,perimetrs,
power,pakāpe,
power-sums,pakāpju summas,
primes,pirmskaitļi,
product,reizinājums,
proportion,proporcija,
quadratic-equation,kvadrātvienādojums,
rational-numbers,racionāli skaitļi ,
real-numbers,reāli skaitļi ,
rectangle,taisnstūris,
recurrent-sequence,rekurentas virknes,
remainder,atlikums,
right-angled-triangle,tainsleņķa trijstūris,
root,sakne,
sequence,virkne,
series,rinda,
square,kvadrāts,
square-Alg,kvadrāts (alg.),
square-Geo,kvadrāts (geo.),
square-root,kvadrātsakne,
subset,apakškopa,
sum,summa,
sum-of-digits,ciparu summa,
system-of-equations,vienādojumu sistēma,
trapezoid,trapece,
triangle,trijstūris,
valuations,valuācijas,The highest degree of a prime that is the divisor of the given number
value,vērtība,
