L1,L2,L3,L4,L5,Label,ShortName,Description,TranslateTo,
1,0,0,0,0,alg,Algebra,Izmantot algebriskos apzīmējumus un metodes skaitļu teorijas uzdevumos,Algebra,
1,1,0,0,0,alg.expr,Algebriskas izteiksmes,"Ieviest mainīgo apzīmējumus, sastādīt ar tiem izteiksmes",NumTheoryExpr,
1,1,1,0,0,alg.expr.prop,Skaitļu īpašību izteikšana kvantitatīvi,"Izteikt kvalitatīvas skaitļu īpašības (dalāmi ar kko, pēc kārtas sekojoši, nepāru, pilni kvadrāti u.c.) ar mainīgo izteiksmēm",NumTheoryExprForConcepts,
1,1,2,0,0,alg.expr.selectvar,Mainīgo ieviešana,"Izvēlēties vien nedaudzus nezināmos lielumus, ar ko izteikt citus",NumTheoryExprVariables,
1,2,0,0,0,alg.tra,Algebriski pārveidojumi,Veikt algebriskus pārveidojumus,AlgebraicTransformations,
1,2,1,0,0,alg.tra.binom,Binomu izteiksmes,"Pārveidot reizinājumus un pakāpes, kuros ietilpst binomi",StandardIdentities,
1,2,1,1,0,alg.tra.binom.square,Summas kvadrāta formula,Atvērt iekavas izteiksmēs $(a+b)^2$ un $(a-b)^2$ un dalīt reizinātājos,StandardIdentities,
1,2,1,2,0,alg.tra.binom.complsquare,Pilnu kvadrātu atdalīšana,Atdalīt pilnos kvadrātus,CompletingSquare,
1,2,1,3,0,alg.tra.binom.newton,Ņūtona binoma formula,Atvērt iekavas izteiksmēs $(a+b)^n$ un $(a-b)^n$ (Ņūtona binomi),AdvancedIdentities,
1,2,2,0,0,alg.tra.factor,Dalīšana reizinātājos,Dalīt reizinātājos algebriskas izteiksmes,StandardIdentities,
1,2,2,1,0,alg.tra.factor.sqdiff,Kvadrātu starpība,Dalīt reizinātājos $a^2-b^2$,StandardIdentities,
1,2,2,2,0,alg.tra.factor.powdiff,n-to pakāpju starpība,Dalīt reizinātājos $a^n-b^n$,AdvancedIdentities,
1,2,3,0,0,alg.tra.pow,Pakāpju īpašības,Izmantot pakāpju īpašības,StandardIdentities,
1,2,3,1,0,alg.tra.pow.nest,Pakāpes pakāpe,Atvērt iekavas izteiksmē $(a^m)^n$,StandardIdentities,
1,2,3,2,0,alg.tra.pow.prod,Reizinājuma pakāpe,Atvērt iekavas izteiksmē $(ab)^n$,StandardIdentities,
1,2,4,0,0,alg.tra.frac,Algebrisku daļu pārveidojumi,Lietot daļu identiskos pārveidojumus,StandardIdentities,
1,3,0,0,0,alg.equ,Algebriski vienādojumi,Risināt algebriskus vienādojumus ar piemērotām standartmetodēm,AlgebraicEquations,
1,3,1,0,0,alg.equ.guess,Vienādojuma sakņu uzminēšana,Ievietot dažas mainīgo vērtības sakņu uzminēšanai,EquationFactorization,
1,3,2,0,0,alg.equ.quadratic,Kvadrātvienādojumu analīze,Analizēt un risināt kvadrātvienādojumus,QuadraticEquationRootConditions,
1,3,2,1,0,alg.equ.quadratic.discriminant,Kvadrātvienādojuma diskriminants,Noteikt kvadrātvienādojuma sakņu skaitu pēc diskriminanta,QuadraticEquationRootConditions,
1,3,2,2,0,alg.equ.quadratic.roots,Kvadrātvienādojuma saknes,Noteikt kvadrātvienādojuma reālās saknes,QuadraticEquationRootConditions,
1,3,3,0,0,alg.equ.parametrize,Vienādojumu parametrizēšana,"Parametrizēt vairāku mainīgo vienādojumu, pieņemot kādu no mainīgajiem par parametru",EquationComparingSidesAsFunctions,
1,4,0,0,0,alg.series,Garas summas,Pārveidot un secināt par garām summām un reizinājumiem,TelescopicSums,
1,4,1,0,0,alg.series.sum,Locekļu pārkārtošana summās,Pārkārtot locekļus garās summās (arī ar daudzpunktiem),TelescopicSums,
1,4,2,0,0,alg.series.mean,Aritmētiskais vidējais,Veikt darbības ar aritmētisko vidējo,BaricenterCoordinates,
1,4,3,0,0,alg.series.prod,Gari reizinājumi,"Pārkārtot locekļus reizinājumos (arī ar daudzpunktiem), saīsināt daļu reizinājumus",TelescopicSums,
1,5,0,0,0,alg.ineq,Nevienādības,Pamatot un izmantot nevienādības,EquationsApplyInequalities,
1,5,1,0,0,alg.ineq.equations,Nevienādības vienādojumu analīzē,"Veselu skaitļu vienādojumos sašaurināt potenciālo atrisinājumu kopu, ja citi neapmierina novērtējumu. ",NumTheoryInequalityMethod,
1,5,2,0,0,alg.ineq.transitive,Nevienādību transitivitāte,"Pamatot nevienādību $a<c$, izmantojot $a<b$ un $b<c$",InequalityProvingStronger,
1,5,3,0,0,alg.ineq.monotonicity,Vienādojuma analīze ar monotonitāti,"Pamatot vienādojuma sakņu neesamību veselos skaitļos, izmantojot monotonitāti",NumTheoryInequalityLargeIntervals,
1,5,4,0,0,alg.ineq.square,Nevienādības ar pilno kvadrātu,"Izmantot to, ka kvadrāti ir nenegatīvi",AddingOrMultiplyingInequalities,
1,5,5,0,0,alg.ineq.quadratic,Kvadrātiskas nevienādības,Risināt kvadrātnevienādības,NumTheoryInequalitySideComparison,
1,6,0,0,0,alg.linear,Lineāri vienādojumi,Izmantot linearitāti veicot pārveidojumus vai kombinējot rezultātus,LinearTransforms,
1,6,1,0,0,alg.linear.equations,Lineāri pārveidojumi,Veikt pārveidojumus ar lineāriem vienādojumiem,LinearSystemsTransforms,
1,6,2,0,0,alg.linear.comb,Lineāras kombinācijas,Veidot citas lineāras kombinācijas,LinearSystemsApplications,
1,7,0,0,0,alg.poly,Polinomu īpašības,Lietot polinomu īpašības,IntegerPolynomials,
1,7,1,0,0,alg.poly.division,Polinomu dalīšana ar atlikumu,"Dalīt divus viena mainīgā polinomus, iegūstot dalījumu un atlikumu",PolynomialLongDivision,
1,7,2,0,0,alg.poly.homo,Izteiksmju homogenitāte,"Izmantot izteiksmju homogenitāti: saglabāt identitāti, to ar kaut ko piereizinot.",SymmetricAlgebraicExpressions,
1,7,3,0,0,alg.poly.prop,Polinomi ar veseliem koeficientiem,Lietot rezultātus par 1 mainīgā polinomiem ar veseliem koeficientiem,RationalRootTheorem,
1,7,3,1,0,alg.poly.prop.valdiff,Polinomu vērtību dalāmība,"Secināt, ka veselu skaitļu polinoma vērtību starpība $P(a)-P(b)$ dalās ar $a-b$",PolynomialDifferenceDivisibility,
1,8,0,0,0,alg.sets,Skaitļu kopu īpašības,Izmantot dažādu skaitļu kopu īpašības,NumberSets,
1,8,1,0,0,alg.sets.irrat,Skaitļu racionalitāte,Secināt par skaitļu racionalitāti vai iracionalitāti,IrrationalNumbers,
1,8,2,0,0,alg.sets.sqrt,Kvadrātsakņu racionalitāte,Secināt par kvadrātsakņu izteiksmju racionalitāti vai iracionalitāti,QuadraticFields,
1,8,2,1,0,alg.sets.sqrt.pythagoras,Pitagora trijnieki,"Secināt par Pitagora trijnieku, $a^2+b^2=c^2$, īpašībām",PythagoreanTriples,
2,0,0,0,0,div,Dalāmība,Izmantot veselu skaitļu dalāmību,DivisibilityProperties,
2,1,0,0,0,div.prop,Dalāmības īpašības,"Secināt, izmantojot vienkāršas dalāmības īpašības",DivisibilityProperties,
2,1,1,0,0,div.prop.add,Summas un starpības dalāmība,"Secināt, ka $d$ dala $a+b$ un $a-b$, ja $d \mid a$ and $d \mid b$",DivisibilityProperties,
2,1,2,0,0,div.prop.prod,Reizinājumu dalāmība,"Secināt, ka $xy$ dala $ab$, ja $x \mid a$ and $y \mid b$",DivisibilityProperties,
2,1,3,0,0,div.prop.primes,Pirmskaitļu īpašības,Izmantot pirmskaitļu īpašības,Primes,
2,1,3,1,0,div.prop.primes.small,Pazīt pirmskaitļus no [1;100],Pazīt pirmskaitļus un saliktus skaitļus intervālā $[1;100]$,PrimesDistribution,
2,1,3,2,0,div.prop.primes.inf,Pirmskaitļu bezgalīgums,"Izmantot faktu, ka pirmskaitļu ir bezgalīgi daudz",PrimesInfinityProof,
2,1,4,0,0,div.prop.composite,Salikto skaitļu pazīšana,"Pazīt saliktus skaitļus, pārbaudīt dalāmību līdz kvadrātsaknei",PrimalityTests,
2,1,5,0,0,div.prop.euclidlemma,Eiklīda lemmu lietošana,"Lietot Eiklīda lemmu (ja p dala ab, tad a vai b dalās ar p)",EuclideanLemma,
2,2,0,0,0,div.fta,Pirmskaitļu reizinājums,Izmantot vesela skaitļa izteiksmi pirmskaitļu reizinājumā (Fundamental theorem of arithmetic),CanonicalFactorization,
2,2,1,0,0,div.fta.proc,Skaitļa pirmreizinātājos dalīšana,"Sadalīt skaitli ($<10000$) pirmreizinātājos, pārbaudot dalāmību līdz kvadrātsaknei.",CanonicalFactorization,
2,2,2,0,0,div.fta.divisors,Dalītāju spriedumi,"Izdarīt spriedumus par skaitļa dalītājiem, ja tas izteikts kā reizinājums.",IntegerFactorization,
