TopicID,Parent,Sibling,Title,Description,TranslateTo,Links
algebra,TOP,1,Algebra,Algebra un skaitļu teorija,,https://problems.ru/view_by_subject_new.php?parent=88
combinatorics,TOP,2,Kombinatorika,Kombinatorika,,https://problems.ru/view_by_subject_new.php?parent=188
geometry,TOP,3,Ģeometrija,Ģeometrija,,https://problems.ru/view_by_subject_new.php?parent=193 
numberTheory,TOP,4,Skaitļu teorija,Skaitļu teorija un dalāmība,,https://problems.ru//view_by_subject_new.php?parent=134
probability,TOP,5,Varbūtības,Varbūtības un statistika,,https://problems.ru/view_by_subject_new.php?parent=208
analysis,TOP,6,Matemātiskā analīze,Matemātiskā analīze,,https://problems.ru/view_by_subject_new.php?parent=265
methods,TOP,7,Metodes,Metodes,,https://problems.ru/view_by_subject_new.php?parent=214
logicAndSets,combinatorics,1,Loģika un kopas,Loģika un kopu teorija,,https://problems.ru/view_by_subject_new.php?parent=78
mathematicalLogic,logicAndSets,1,Matemātiskā loģika,Matemātiskā loģika,,https://problems.ru/view_by_subject_new.php?parent=79
setTheory,logicAndSets,2,Kopu teorija,Kopu teorija,,https://problems.ru/view_by_subject_new.php?parent=81
orderRelation,logicAndSets,3,Kārtības attiecība,Kārtības attiecība,,https://problems.ru/view_by_subject_new.php?parent=83
equivalenceRelation,logicAndSets,4,Ekvivalences attiecība,Ekvivalences attiecība. Ekvivalences klases,,https://problems.ru/view_by_subject_new.php?parent=1287
linguistics,logicAndSets,5,Lingvistika,Formālā lingvistika,,https://problems.ru/view_by_subject_new.php?parent=84
funProblems,logicAndSets,6,Nenopietni uzdevumi,Nenopietni teksta uzdevumi,,https://problems.ru/view_by_subject_new.php?parent=87
algorithms,logicAndSets,7,Algoritmi,Algoritmu izstrāde un pamatošana,,https://problems.ru/view_by_subject_new.php?parent=204
otherLogic,logicAndSets,8,Dažādi par loģiku,Dažādi uzdevumi par loģiku,,https://problems.ru/view_by_subject_new.php?parent=256
arithmetic,algebra,1,Aritmētika,Teksta uzdevumi par aritmētiu,,https://problems.ru//view_by_subject_new.php?parent=89
arithmeticOperations,algebra,2,Aritmētiskās darbības,"Aritmētiskās darbības, skaitliskas identitātes",,https://problems.ru//view_by_subject_new.php?parent=849
meanValues,algebra,3,Vidējie lielumi,"Vidējais aritmētiskais, ģeometriskais un harmoniskais",,https://problems.ru//view_by_subject_new.php?parent=1282
wordProblems,algebra,4,Teksta uzdevumi,Teksta uzdevumi par algebru,,https://problems.ru//view_by_subject_new.php?parent=90
fractions,algebra,5,Daļas,Darbības ar daļskaitļiem,,https://problems.ru//view_by_subject_new.php?parent=97
numeralSystems,algebra,6,Skaitīšanas sistēmas,"Decimālā, binārā un citas skaitīšanas sistēmas",,https://problems.ru//view_by_subject_new.php?parent=102
absoluteValue,algebra,7,Absolūtā vērtība,Absolūtā vērtība jeb modulis,,https://problems.ru//view_by_subject_new.php?parent=106
polynomials,algebra,8,Polinomi,Polinomu algebra,,https://problems.ru//view_by_subject_new.php?parent=107
powerSeries,algebra,9,Pakāpju rindas,Formālas pakāpju rindas,,https://problems.ru//view_by_subject_new.php?parent=1264
algebraicGeometry,algebra,10,Algebriskā ģeometrija,Algebriskā ģeometrija,,https://problems.ru//view_by_subject_new.php?parent=114
rationalFunctions,algebra,11,Racionālas funkcijas,Racionālas funkcijas,,https://problems.ru//view_by_subject_new.php?parent=115
roots,algebra,12,Saknes un pakāpes ar racionālu kāpinātāju,Saknes un pakāpes ar racionālu kāpinātāju,,https://problems.ru//view_by_subject_new.php?parent=120
linearAlgebra,algebra,13,Lineārā algebra,Lineārā algebra,,https://problems.ru//view_by_subject_new.php?parent=129
groupTheory,algebra,14,Grupu teorija,Grupu teorija,,https://problems.ru//view_by_subject_new.php?parent=130
sequences,algebra,15,Virknes,Virknes,,https://problems.ru//view_by_subject_new.php?parent=147
algebraicInequalities,algebra,16,Algebriskas nevienādības,Nevienādības un nevienādību sistēmas,,https://problems.ru//view_by_subject_new.php?parent=153
algebraicEquations,algebra,17,Algebriski vienādojumi,Algebriski vienādojumi un sistēmas,,https://problems.ru//view_by_subject_new.php?parent=165
trigonometry,algebra,18,Trigonometrija,Trigonometrija,,https://problems.ru//view_by_subject_new.php?parent=172
exponentialAndLogarithmic,algebra,19,Eksponentfunkcijas un logaritmi,Eksponentfunkcijas un logaritmi,,https://problems.ru//view_by_subject_new.php?parent=179
complexNumbers,algebra,20,Kompleksie skaitļi,Kompleksie skaitļi ,,https://problems.ru//view_by_subject_new.php?parent=837
functionGraphs,algebra,21,Grafiki,Grafiki un punktu ģeometriskās vietas koordinātu plaknē,,https://problems.ru//view_by_subject_new.php?parent=1192
otherAlgebra,algebra,22,Dažādi par algebru,Dažādi uzdevumi par algebru,,https://problems.ru//view_by_subject_new.php?parent=259
planimetry,geometry,1,Planimetrija,Planimetrija,,https://problems.ru/view_by_subject_new.php?parent=195
stereometry,geometry,2,Stereometrija,Stereometrija,,https://problems.ru/view_by_subject_new.php?parent=196
projectiveGeometry,geometry,3,Projektīvā ģeometrija,Projektīvā ģeometrija,,https://problems.ru/view_by_subject_new.php?parent=197
affineGeometry,geometry,4,Afīnā ģeometrija,Afīnā ģeometrija,,https://problems.ru/view_by_subject_new.php?parent=198
combinatorialGeometry,geometry,5,Kombinatoriskā ģeometrija,Kombinatoriskā ģeometrija,,https://problems.ru/view_by_subject_new.php?parent=199
topology,geometry,6,Topoloģija,Topoloģija,,https://problems.ru/view_by_subject_new.php?parent=1206
convexAnalysis,geometry,7,Izliektā analīze,Izliektā analīze,,https://problems.ru/view_by_subject_new.php?parent=1698
otherGeometry,geometry,8,Dažādi par ģeometriju,Dažādi par ģeometriju,,https://problems.ru/view_by_subject_new.php?parent=263
classicalCombinatorics,combinatorics,2,Klasiska kombinatorika,Klasiska kombinatorika,,https://problems.ru/view_by_subject_new.php?parent=189
pascalTriangle,combinatorics,3,Paskāla trijstūris,Paskāla trijstūris un Ņūtona binoms,,https://problems.ru/view_by_subject_new.php?parent=190
generatingFunctions,combinatorics,4,Veidotājfunkcijas,Veidotājfunkcijas,,https://problems.ru/view_by_subject_new.php?parent=191
catalanNumbers,combinatorics,5,Katalāna skaitļi,Katalāna skaitļi,,https://problems.ru/view_by_subject_new.php?parent=952
graphs,combinatorics,6,Grafu teorija,Grafu teorija,,https://problems.ru/view_by_subject_new.php?parent=192
otherCombinatorics,combinatorics,7,Dažādi par kombinatoriku,Dažādi par kombinatoriku,,https://problems.ru/view_by_subject_new.php?parent=244
probabilityTheory,probability,1,Varbūtību teorija,Varbūtību teorija,,https://problems.ru/view_by_subject_new.php?parent=209
mathematicalStatistics,probability,2,Matemātiskā statistika,Matemātiskā statistika,,https://problems.ru/view_by_subject_new.php?parent=213
realNumbers,analysis,1,Reālie skaitļi,Reālie skaitļi,,https://problems.ru/view_by_subject_new.php?parent=858
numberSequences,analysis,2,Skaitļu virknes,Skaitļu virknes,,https://problems.ru/view_by_subject_new.php?parent=859
functionsAndContinuity,analysis,3,Funkcijas un nepārtrauktība,Viena mainīgā funkcijas un nepārtrauktība,,https://problems.ru/view_by_subject_new.php?parent=266
derivative,analysis,4,Atvasinājums,Atvasinājums,,https://problems.ru/view_by_subject_new.php?parent=860
integral,analysis,5,Integrālis,Integrālis,,https://problems.ru/view_by_subject_new.php?parent=861
series,analysis,6,Rindas,Rindas,,https://problems.ru/view_by_subject_new.php?parent=862
functionSequencesSeries,analysis,7,Funkciju virknes un rindas,Funkciju virknes un rindas,,https://problems.ru/view_by_subject_new.php?parent=863
multiVariableFunctions,analysis,8,Vairāku mainīgo funkcijas,Vairāku mainīgo funkcijas,,https://problems.ru/view_by_subject_new.php?parent=864
otherAnalysis,analysis,9,Dažādi par analīzi,Dažādi par analīzi,,https://problems.ru/view_by_subject_new.php?parent=267
mathematicalInduction,methods,1,Indukcijas metode,Indukcijas metode,,https://problems.ru/view_by_subject_new.php?parent=215
pigeonholeMethod,methods,2,Dirihlē princips,Dirihlē princips,,https://problems.ru/view_by_subject_new.php?parent=216
extremeElementMethod,methods,3,Ekstrēmā elementa metode,Ekstrēmā elementa metode,,https://problems.ru/view_by_subject_new.php?parent=252
invariantMethod,methods,4,Invariantu metode,Invariantu metode,,https://problems.ru/view_by_subject_new.php?parent=220
coloringMethod,methods,5,Krāsošanas metode,Krāsošanas metode,,https://problems.ru/view_by_subject_new.php?parent=221
algebraicMethods,methods,6,Algebriskas metodes,Algebriskas metodes,,https://problems.ru/view_by_subject_new.php?parent=672
geometricMethods,methods,7,Ģeometriskas metodes,Ģeometriskas metodes,,https://problems.ru/view_by_subject_new.php?parent=673
analysisMethods,methods,8,Matemātiskās analīzes metodes,Matemātiskās analīzes metodes,,https://problems.ru/view_by_subject_new.php?parent=675
proofsByContradiction,methods,9,Pierādījumi no pretējā,Pierādījumi no pretējā,,https://problems.ru/view_by_subject_new.php?parent=251
counterexamplesAndConstructions,methods,10,Pretpiemēri un konstrukcijas,Pretpiemēri un konstrukcijas,,https://problems.ru/view_by_subject_new.php?parent=590
methodsForParametrizedProblems,methods,11,Metodes uzdevumiem ar parametru,Metodes uzdevumiem ar parametru,,https://problems.ru/view_by_subject_new.php?parent=227
proofsByEstimateAndExample,methods,12,Pamatojums ar novērtējumu un piemēru,Pamatojums ar novērtējumu un piemēru,,https://problems.ru/view_by_subject_new.php?parent=1902
paradoxes,mathematicalLogic,1,Paradoksi,Paradoksi,,https://problems.ru/view_by_subject_new.php?parent=80
cryptarithmetic,mathematicalLogic,2,Skaitļu rēbusi,Skaitļu rēbusi,,https://problems.ru/view_by_subject_new.php?parent=86
otherMathematicalLogic,mathematicalLogic,3,Dažādi par matemātisko loģiku,Dažādi par matemātisko loģiku,,https://problems.ru/view_by_subject_new.php?parent=257
setOperations,setTheory,1,Kopu darbības,"Kopu apvienojums, šķēlums un starpība",,https://problems.ru/view_by_subject_new.php?parent=1063
inclusionExclusion,setTheory,2,Ieslēgšanas-izslēgšanas princips,Ieslēgšanas-izslēgšanas formula.,,https://problems.ru/view_by_subject_new.php?parent=82
setCardinality,setTheory,3,Kopu kardinalitāte,"Kopu kardinalitāte, bijektīvi attēlojumi ",,https://problems.ru/view_by_subject_new.php?parent=852
specialSets,setTheory,4,Neparastas konstrukcijas,Neparastas konstrukcijas,,https://problems.ru/view_by_subject_new.php?parent=85
otherSetTheory,setTheory,5,Dažādi par kopu teoriju,Dažādi par kopu teoriju,,https://problems.ru/view_by_subject_new.php?parent=258
gameTheory,algorithms,1,Spēļu teorija,Spēļu teorija,,https://problems.ru/view_by_subject_new.php?parent=205
decisionTrees,algorithms,2,Svēršanas uzdevumi,Svēršanas uzdevumi,,https://problems.ru/view_by_subject_new.php?parent=206
otherAlgorithms,algorithms,3,Dažādi par algoritmiem,Dažādi par algoritmiem,,https://problems.ru/view_by_subject_new.php?parent=207
collaborationAlgorithms,algorithms,4,Sadarbības algoritmi,Sadarbības algoritmi,,https://problems.ru/view_by_subject_new.php?parent=1899
ferryProblems,algorithms,5,Pārceltuvju uzdevumi,Pārceltuvju uzdevumi,,https://problems.ru/view_by_subject_new.php?parent=1900
wordProblemsPercentages,wordProblems,1,Teksta uzdevumi ar procentiem un attiecībām,Teksta uzdevumi ar procentiem un attiecībām,,https://problems.ru/view_by_subject_new.php?parent=91
wordProblemsMovement,wordProblems,2,Teksta uzdevumi par kustību,Teksta uzdevumi par kustību,,https://problems.ru/view_by_subject_new.php?parent=92
wordProblemsWork,wordProblems,3,Teksta uzdevumi par darbu,Teksta uzdevumi par darbu,,https://problems.ru/view_by_subject_new.php?parent=93
wordProblemsMixes,wordProblems,4,Teksta uzdevumi par maisījumiem,Teksta uzdevumi par maisījumiem,,https://problems.ru/view_by_subject_new.php?parent=95
wordProblemsInequalities,wordProblems,5,Teksta uzdevumi ar nevienādībām,"Teksta uzdevumi ar nevienādībām, gadījumu analīze",,https://problems.ru/view_by_subject_new.php?parent=853
wordProblemsCompetitions,wordProblems,6,Teksta uzdevumi par sacensībām,Teksta uzdevumi par sacensībām,,https://problems.ru/view_by_subject_new.php?parent=906
otherWordProblems,wordProblems,7,Dažādi teksta uzdevumi,Dažādi teksta uzdevumi,,https://problems.ru/view_by_subject_new.php?parent=96
regularFractions,fractions,1,Parastās daļas,Parastās daļas,,https://problems.ru/view_by_subject_new.php?parent=98
decimalFractions,fractions,2,Decimāldaļas,Decimāldaļas,,https://problems.ru/view_by_subject_new.php?parent=99
approximatingNumbers,fractions,3,Skaitļu tuvināšana,Skaitļu tuvināšana,,https://problems.ru/view_by_subject_new.php?parent=100
continuedFractions,fractions,4,Ķēžu daļas,Ķēžu daļas,,https://problems.ru/view_by_subject_new.php?parent=248
otherFractions,fractions,5,Dažādi daļu uzdevumi,Dažādi daļu uzdevumi,,https://problems.ru/view_by_subject_new.php?parent=101
decimalNotation,numeralSystems,1,Decimālpieraksts,Decimālā skaitīšanas sistēma,,https://problems.ru/view_by_subject_new.php?parent=103
binaryNotation,numeralSystems,2,Binārais pieraksts,Binārā skaitīšanas sistēma,,https://problems.ru/view_by_subject_new.php?parent=104
ternaryNotation,numeralSystems,3,Trijnieku pieraksts,Trijnieku skaitīšanas sistēma,,https://problems.ru/view_by_subject_new.php?parent=1067
nimGameSums,numeralSystems,4,NIM-summas,NIM-summas,,https://problems.ru/view_by_subject_new.php?parent=1070
otherNumeralSystems,numeralSystems,5,Citas skaitīšanas sistēmas,Citas skaitīšanas sistēmas,,https://problems.ru/view_by_subject_new.php?parent=105
absoluteValueProperties,absoluteValue,1,Moduļa īpašības,"Moduļa īpašības, trijstūra nevienādība",,https://problems.ru/view_by_subject_new.php?parent=845
absoluteValueEquations,absoluteValue,2,Vienādojumi ar moduļiem,Vienādojumi ar moduļiem,,https://problems.ru/view_by_subject_new.php?parent=846
absoluteValueInequalities,absoluteValue,3,Nevienādības ar moduļiem,Nevienādības ar moduļiem,,https://problems.ru/view_by_subject_new.php?parent=847
otherAbsoluteValue,absoluteValue,4,Dažādi par moduli,Dažādi par moduli,,https://problems.ru/view_by_subject_new.php?parent=848
quadraticPolynomials,polynomials,1,Kvadrāttrinoms,Kvadrāttrinoms,,https://problems.ru/view_by_subject_new.php?parent=160
algebraicIdentities,polynomials,2,Algebriskas identitātes,Algebriskas identitātes,,https://problems.ru/view_by_subject_new.php?parent=109
polynomialInequalitiesIntervals,polynomials,3,Polinomu nevienādības ar intervālu metodi,Polinomu nevienādības ar intervālu metodi,,https://problems.ru/view_by_subject_new.php?parent=112
bezoutTheoremPolynomials,polynomials,4,Bezū teorēma par polinomu saknēm,"Bezū teorēma par polinomu saknēm, dalīšana reizinātājos",,https://problems.ru/view_by_subject_new.php?parent=110
oddDegreePolynomials,polynomials,5,Nepāra pakāpes polinoma saknes,Nepāra pakāpes polinomam ir reāla sakne,,https://problems.ru/view_by_subject_new.php?parent=1699
polynomialRootNumber,polynomials,6,Polinoma pakāpe un sakņu skaits,Polinomam ar pakāpi $n$ ir ne vairāk kā $n$ reālas saknes,,https://problems.ru/view_by_subject_new.php?parent=1286
polynomialLongDivision,polynomials,7,Polinomu dalīšana ar atlikumu ,"Polinoma dalīšana ar atlikumu, polinomu LKD un MKD",,https://problems.ru/view_by_subject_new.php?parent=958
vietaTheorem,polynomials,8,Vjeta teorēma,Vjeta teorēma,,https://problems.ru/view_by_subject_new.php?parent=1069
irreduciblePolynomials,polynomials,9,Nesadalāmi polinomi,Nesadalāmi polinomi,,https://problems.ru/view_by_subject_new.php?parent=959
symmetricPolynomials,polynomials,10,Simetriski polinomi,Simetriski polinomi,,https://problems.ru/view_by_subject_new.php?parent=111
interpolatingPolynomials,polynomials,11,Interpolācijas polinomi,Interpolācijas polinomi,,https://problems.ru/view_by_subject_new.php?parent=1073
integerPolynomials,polynomials,12,Polinomi ar veseliem koeficientiem vai vērtībām,Polinomi ar veseliem koeficientiem vai vērtībām,,https://problems.ru/view_by_subject_new.php?parent=1253
polynomialCoefficientProperties,polynomials,13,Polinoma koeficientu īpašības,Polinoma koeficientu īpašības,,https://problems.ru/view_by_subject_new.php?parent=1204
cubicPolynomials,polynomials,14,Kubiskie polinomi,Kubiskie polinomi,,https://problems.ru/view_by_subject_new.php?parent=1260
specialPolynomials,polynomials,15,Īpaši polinomi,Īpaši polinomi,,https://problems.ru/view_by_subject_new.php?parent=1263
otherPolynomials,polynomials,16,Citi polinomi,Citi polinomi,,https://problems.ru/view_by_subject_new.php?parent=113
algebraicCurves,algebraicGeometry,1,Algebriskas līknes,Algebriskas līknes,,https://problems.ru/view_by_subject_new.php?parent=1239
rationalGeneratingFunctions,algebraicGeometry,2,Racionālas veidotājfunkcijas,Racionālas veidotājfunkcijas,,https://problems.ru/view_by_subject_new.php?parent=1240
cryptography,algebraicGeometry,3,Kriptogrāfija,Kriptogrāfija,,https://problems.ru/view_by_subject_new.php?parent=693
identicalTransforms,rationalFunctions,1,Identiskie pārveidojumi,Identiskie pārveidojumi,,https://problems.ru/view_by_subject_new.php?parent=116
rationalEquations,rationalFunctions,2,Racionāli vienādojumi,Racionāli vienādojumi,,https://problems.ru/view_by_subject_new.php?parent=117
rationalInequalitiesIntervals,rationalFunctions,3,"Nevienādības, intervālu metode","Nevienādības, intervālu metode",,https://problems.ru/view_by_subject_new.php?parent=118
otherRationalFunctions,rationalFunctions,4,Citas racionālas funkcijas,Citas racionālas funkcijas,,https://problems.ru/view_by_subject_new.php?parent=119
squareRoot,roots,1,Kvadrātsaknes,Kvadrātsaknes,,https://problems.ru/view_by_subject_new.php?parent=121
higherDegreeRoots,roots,2,Augstākas pakāpes saknes,Augstākas pakāpes saknes,,https://problems.ru/view_by_subject_new.php?parent=124
irrationalEquations,roots,3,Iracionāli vienādojumi,Iracionāli vienādojumi,,https://problems.ru/view_by_subject_new.php?parent=1194
irrationalInequalities,roots,4,Iracionālas nevienādības,Iracionālas nevienādības,,https://problems.ru/view_by_subject_new.php?parent=1195
otherRootProblems,roots,5,Citi sakņu uzdevumi,Citi sakņu uzdevumi,,https://problems.ru/view_by_subject_new.php?parent=128
lagrangeTheoremGroups,groupTheory,1,Lagranža teorēma par grupām,Lagranža teorēma par grupām,,https://problems.ru/view_by_subject_new.php?parent=131
permutationGroups,groupTheory,2,Permutāciju grupas,Permutāciju grupas,,https://problems.ru/view_by_subject_new.php?parent=132
otherGroupTheory,groupTheory,3,Cita grupu teorija,Cita grupu teorija,,https://problems.ru/view_by_subject_new.php?parent=133
integerDivisibility,numberTheory,1,Skaitļu dalāmība,Skaitļu dalāmība,,https://problems.ru/view_by_subject_new.php?parent=1276
parity,numberTheory,2,Paritāte,Paritāte,,https://problems.ru/view_by_subject_new.php?parent=135
divisibilityRules,numberTheory,3,Dalāmības pazīmes,Dalāmības pazīmes,,https://problems.ru/view_by_subject_new.php?parent=138
primeNumbers,numberTheory,4,Pirmskaitļi,Pirmskaitļi un to īpašības,,https://problems.ru/view_by_subject_new.php?parent=1274
primeFactorization,numberTheory,5,Dalīšana pirmreizinātājos,"Aritmētikas pamatteorēma, dalīšana pirmreizinātājos",,https://problems.ru/view_by_subject_new.php?parent=136
gcdAndLcm,numberTheory,6,LKD un MKD,"LKD un MKD, savstarpēji pirmskaitļi",,https://problems.ru/view_by_subject_new.php?parent=836
modularArithmetic,numberTheory,7,Modulārā aritmētika,"Dalīšana ar atlikumu, modulārā aritmētika",,https://problems.ru/view_by_subject_new.php?parent=229
