L1,L2,L3,L4,L5,Label,ShortDescription,BestSamples,Comments
1,0,0,0,0,alg,Izmantot algebriskos apzīmējumus un metodes skaitļu teorijas uzdevumos,,
1,1,0,0,0,alg.expr,"Ieviest mainīgo apzīmējumus, sastādīt ar tiem izteiksmes",,
1,1,1,0,0,alg.expr.prop,"Izteikt kvalitatīvas skaitļu īpašības (dalāmi ar kko, pēc kārtas sekojoši, nepāru, pilni kvadrāti u.c.) ar mainīgo izteiksmēm",,
1,1,2,0,0,alg.expr.selectvar,"Izvēlēties vien nedaudzus nezināmos lielumus, ar ko izteikt citus",,
1,2,0,0,0,alg.tra,Veikt algebriskus pārveidojumus,,
1,2,1,0,0,alg.tra.binom,"Pārveidot reizinājumus un pakāpes, kuros ietilpst binomi",,
1,2,1,1,0,alg.tra.binom.square,Atvērt iekavas izteiksmēs (a+b)^2 un (a-b)^2 un dalīt reizinātājos,LV.AO.2003.8.5,
1,2,1,2,0,alg.tra.binom.complsquare,Atdalīt pilnos kvadrātus,,
1,2,1,3,0,alg.tra.binom.newton,Atvērt iekavas izteiksmēs (a+b)^n un (a-b)^n (Ņūtona binomi),,
1,2,2,0,0,alg.tra.factor,Dalīt reizinātājos algebriskas izteiksmes,,
1,2,2,1,0,alg.tra.factor.sqdiff,Dalīt reizinātājos a^2-b^2,,
1,2,2,2,0,alg.tra.factor.powdiff,Dalīt reizinātājos a^n-b^n,,
1,2,3,0,0,alg.tra.pow,Izmantot pakāpju īpašības,,
1,2,3,1,0,alg.tra.pow.nest,Atvērt iekavas izteiksmē (a^m)^n,,
1,2,3,2,0,alg.tra.pow.prod,Atvērt iekavas izteiksmē (ab)^n,,
1,2,4,0,0,alg.tra.frac,Lietot daļu identiskos pārveidojumus,,
1,3,0,0,0,alg.series,Pārveidot un secināt par garām summām un reizinājumiem,,
1,3,1,0,0,alg.series.sum,Pārkārtot locekļus garās summās (arī ar daudzpunktiem),,
1,3,2,0,0,alg.series.mean,Veikt darbības ar aritmētisko vidējo,,
1,3,3,0,0,alg.series.prod,"Pārkārtot locekļus reizinājumos (arī ar daudzpunktiem), saīsināt daļu reizinājumus",,
1,4,0,0,0,alg.ineq,Pamatot un izmantot nevienādības,,
1,4,1,0,0,alg.ineq.equations,"Veselu skaitļu vienādojumos sašaurināt potenciālo atrisinājumu kopu, ja citi neapmierina novērtējumu. ",,
1,4,2,0,0,alg.ineq.transitive,"Pamatot nevienādību a<c, izmantojot a<b un b<c",,
1,4,3,0,0,alg.ineq.monotonicity,"Pamatot vienādojuma sakņu neesamību veselos skaitļos, izmantojot monotonitāti",,
1,4,4,0,0,alg.ineq.square,"Izmantot to, ka kvadrāti ir nenegatīvi",,
1,5,0,0,0,alg.linear,Izmantot linearitāti veicot pārveidojumus vai kombinējot rezultātus,,
1,5,1,0,0,alg.linear.equations,Veikt pārveidojumus ar lineāriem vienādojumiem,,
1,5,2,0,0,alg.linear.comb,Veidot citas lineāras kombinācijas,,
